Date,Temp,Salinity,pH,Dhinge,Veliger,Year,Change in temp
6/27/18,19.5,29.5,8,94.83634332,0.008733588,2018,0
7/9/18,23.4,27.1,8,75.84228237,0.021825245,2018,3.9
7/18/18,21.8,29.3,7.9,103.2422967,0.579876318,2018,-1.6
7/24/18,22.6,28.8,8.1,10165.05248,0.055877892,2018,0.8
8/2/18,23.3,26.1,8,985.8419503,0.502262167,2018,0.7
8/8/18,25.2,21.6,7.8,1158.001965,0.831892646,2018,1.9
8/20/18,23.3,21.7,7.9,3469.904528,0.016528454,2018,-1.9
7/10/19,22.9,25.8,8,428.0013241,0,2019,-0.4
7/16/19,22.5,26.3,8,18.47649458,0,2019,-0.4
7/25/19,22.8,26.3,7.9,265.3199368,0.072606852,2019,0.3
8/1/19,23.9,26.8,7.9,764.1374352,0.006976996,2019,1.1
8/9/19,21.9,28.1,7.9,646.9587606,0,2019,-2
8/14/19,21.8,27.9,8.1,174.7108666,0,2019,-0.1
8/23/19,22.7,28.5,8.1,154.3326484,0,2019,0.9
8/28/19,21.7,28.4,8.2,68.80374736,0,2019,-1
9/6/19,20.2,27.9,8,402.8352771,0,2019,-1.5
6/9/20,17.1,28,7.9,104.0925488,5.828762526,2020,-3.1
6/22/20,22.4,28.9,7.9,17.59542208,1.895837874,2020,5.3
7/2/20,21.1,27.9,8,11.24783455,2.562723464,2020,-1.3
7/15/20,23.8,28.1,8,111.7836087,9.337515906,2020,2.7
7/20/20,24,28.3,8,42.00486542,2.070453088,2020,0.2
7/29/20,24.1,29.4,8,44.51615661,3.84773986,2020,0.1
8/5/20,22.7,29.8,7.9,47.48284062,3.363623241,2020,-1.4
8/13/20,23.9,30.5,7.8,264.040399,14.65785736,2020,1.2
8/19/20,21.9,30.7,7.8,7.42991606,1.425764187,2020,-2
8/24/20,22,30.8,7.9,21.89312189,0.680286314,2020,0.1
9/3/20,19.1,30.8,7.8,4.342821855,0.105955764,2020,-2.9
9/17/20,18.1,31,7.8,4.306572905,0.301018921,2020,-1
9/24/20,15.5,31.5,7.9,8.470634196,0.39325229,2020,-2.6
9/29/20,17.8,31.5,7.9,18.99121276,0.620515411,2020,2.3
10/10/20,13.8,31.8,7.9,6.057251131,0.39325229,2020,-4
10/15/20,13.3,31.4,8,2.138901589,0.271032699,2020,-0.5
10/22/20,13,30.6,8,1.662412554,2.274862956,2020,-0.3
10/29/20,11.3,30,8.1,2.340347053,2.076126026,2020,-1.7
11/5/20,7.9,28.8,8.1,0.169280959,0.130634823,2020,-3.4
