Date,Site,D,D_SE,V,V_SE
6/27/18,LR,118.7767948,27.28460068,0.026200764,0.015127018
6/27/18,SQ,85.58916095,9.72531184,0.008733588,0.008733588
6/27/18,NI,94.3227488,10.90824773,0,0
6/27/18,WP,80.65666872,2.709397139,0,0
7/9/18,LR,169.2605963,37.02575544,0,0
7/9/18,SQ,46.55541686,18.44981215,0.087300979,0.087300979
7/9/18,NI,0,0,0,0
7/9/18,WP,87.55311632,10.41396247,0,0
7/18/18,LR,75.24321842,32.91890806,0,0
7/18/18,SQ,48.01743999,41.64156214,0.068853121,0.040761528
7/18/18,NI,218.5256498,126.0933336,1.2963386,0.593479381
7/18/18,WP,71.1828785,4.514036197,0.95431355,0.03355094
7/24/18,LR,4350.089048,590.7305587,0.061113105,0.061113105
7/24/18,SQ,24593.49921,7756.02755,0,0
7/24/18,NI,1280.383664,60.99194859,0.138893421,0.138893421
7/24/18,WP,10436.23801,3026.547576,0.023505041,0.023505041
8/2/18,LR,1521.716325,114.4953663,1.100035898,0.381651221
8/2/18,SQ,1643.942536,241.4547783,0.152782764,0.080845039
8/2/18,NI,297.2026812,39.04546131,0.409565022,0.089066731
8/2/18,WP,480.5062589,84.84883574,0.346664984,0.082489747
8/8/18,LR,1075.546732,24.44424344,1.008325061,0.140021998
8/8/18,SQ,913.6036163,250.609388,0.030555305,0.030555305
8/8/18,NI,785.9503377,110.4951819,1.069435665,0.116684995
8/8/18,WP,1856.907174,99.17230669,1.219254553,0.262290098
8/20/18,LR,7694.207689,200.5191877,0,0
8/20/18,SQ,2903.761269,1960.926438,0,0
8/20/18,NI,257.2100424,33.65550538,0,0
8/20/18,WP,3024.43911,443.3986993,0.066113817,0.033093109
