Date,Site,D,D_SE,V,V_SE
7/10/19,LR,1007.803118,347.6991174,0,0
7/10/19,SQ,343.915212,100.1072134,0,0
7/10/19,NI,234.0367505,127.5695413,0,0
7/10/19,WP,126.2502157,55.80641759,0,0
7/16/19,LR,23.97547036,5.87825297,0,0
7/16/19,SQ,19.70483013,4.945710463,0,0
7/16/19,NI,10.33255652,5.500062433,0,0
7/16/19,WP,19.89312131,1.785654142,0,0
7/25/19,LR,42.89258178,7.949044491,0.184170501,0.047039806
7/25/19,SQ,752.3529511,96.56158161,0,0
7/25/19,NI,32.86493824,7.399760207,0.096811298,0.015381357
7/25/19,WP,233.1692759,13.58222077,0.00944561,0.00944561
8/1/19,LR,858.3508159,218.1816249,0.009493988,0.009493988
8/1/19,SQ,1571.407717,118.731726,0,0
8/1/19,NI,279.9513884,80.20229421,0,0
8/1/19,WP,346.8398196,26.45426847,0.018413994,0.009239148
8/9/19,LR,463.9629075,112.0551184,0,0
8/9/19,SQ,560.4762047,192.3344815,0,0
8/9/19,NI,1554.353803,212.6348935,0,0
8/9/19,WP,9.042127388,5.714710587,0,0
8/14/19,LR,27.44595367,8.358039643,0,0
8/14/19,SQ,508.9222128,131.0586364,0,0
8/14/19,NI,83.27966358,17.07950572,0,0
8/14/19,WP,79.19563642,29.16052355,0,0
8/23/19,LR,142.050539,65.57154089,0,0
8/23/19,SQ,90.5287819,17.80601123,0,0
8/23/19,NI,261.5161801,98.29236966,0,0
8/23/19,WP,123.2350925,16.13186598,0,0
8/28/19,LR,89.44833901,19.90302308,0,0
8/28/19,SQ,95.82065609,42.81181501,0,0
8/28/19,NI,45.21569967,8.807365817,0,0
8/28/19,WP,44.73029466,4.916505105,0,0
9/6/19,LR,158.1409803,0,0,0
9/6/19,SQ,874.7267076,238.8799828,0,0
9/6/19,NI,344.7350797,113.838326,0,0
9/6/19,WP,233.7383409,14.93310284,0,0
